position,title,year,notaRank,media,notas,age,numOfPlayers,timeOfPlay,dominio,mecanicas,artist,designer,imagem,minPlayers,maxPlayers,shared_artists,shared_designers,plusOneArtist
1,Gloomhaven,2017,8.99,9.19,512,12,1 a 4,120,Jogos Expert,"Ação Simultânea,Gestão de Mão,Cooperativo,Jogadores com Diferentes Habilidades,Movimento em Grades,Tabuleiro Modular,RPG","Alexandr Elichev,Josh T. McDowell,Alvaro Nebot",Isaac Childres,https://storage.googleapis.com/ludopedia-capas/8624_t.jpg,1,4,"729,1005","729,1005,1282","729,1005"
2,Terra Mystica,2012,8.99,9.04,2036,14,2 a 5,100,Jogos Expert,"Jogadores com Diferentes Habilidades,Construção de Rotas,Controle/Influência de Área,Ordem de Fases Variável",Dennis Lohausen,"Jens Drögemüller,Helge Ostertag",https://storage.googleapis.com/ludopedia-capas/404_t.jpg,2,5,"2,23,28,68,71,87,100,106,165,211,215,235,240,291,297,341,348,424,525,545,641,697,963,1019,1059,1117,1132,1365,1376,1396,1781,1797,1970,2048,2078","2,1525",
3,Gaia Project,2017,8.96,9.07,898,14,1 a 4,150,Jogos Expert,"Construção de Rotas,Jogadores com Diferentes Habilidades,Ordem de Fases Variável,Tabuleiro Modular",Dennis Lohausen,"Jens Drögemüller,Helge Ostertag",https://storage.googleapis.com/ludopedia-capas/13749_t.jpg,1,4,"1,23,28,68,71,87,100,106,165,211,215,235,240,291,297,341,348,424,525,545,641,697,963,1019,1059,1117,1132,1365,1376,1396,1781,1797,1970,2048,2078","1,1525",
4,Terraforming Mars,2016,8.95,9.0,2005,12,1 a 5,120,Jogos Expert,"Gestão de Mão,Colocação de Peças,Jogadores com Diferentes Habilidades,Seleção de Cartas,Colecionar Componentes",Isaac Fryxelius,Jacob Fryxelius,https://storage.googleapis.com/ludopedia-capas/8858_t.jpg,1,5,,,
5,Brass: Birmingham,2018,8.93,9.11,547,14,2 a 4,120,Jogos Expert,"Construção de Rotas,Gestão de Mão","Lina Cossette,David Forest,Damien Mammoliti","Gavan Brown,Matt Tolman,Martin Wallace",https://storage.googleapis.com/ludopedia-capas/13494_t.jpg,2,4,"5,133,223,377,481,871,882,1352,1810","5,94,163,347,382,401,432,647,726,820,867,882,959,966,997,1025,1066,1078,1099,1224,1265,1285,1293,1334,1458,1486,1543,1597,1630,1704,1860,2037,2078,2228,2507","5,133,223,377,481,871,882,1810"
6,Brass: Lancashire,2017,8.88,9.16,346,13,2 a 4,180,Jogos Expert,"Construção de Rotas,Gestão de Mão","Lina Cossette,Peter Dennis,David Forest,Eckhard Freytag,Damien Mammoliti",Martin Wallace,https://storage.googleapis.com/ludopedia-capas/13196_t.jpg,2,4,"4,94,133,223,377,382,410,481,578,820,867,871,882,997,1025,1066,1078,1145,1173,1224,1265,1334,1352,1538,1581,1704,1810,2021,2044,2070,2206,2228","4,94,163,347,382,401,432,647,726,820,867,959,966,997,1025,1066,1078,1099,1224,1265,1285,1293,1334,1458,1486,1543,1597,1630,1704,1860,2037,2078,2228,2507","4,94,133,223,377,481,871,882,1810"
7,Great Western Trail,2016,8.85,8.93,1192,12,2 a 4,150,Jogos Expert,"Gestão de Mão,Colocação de Peças,Construção de Baralho/Peças,Movimento Ponto-a-Ponto,Colecionar Componentes,Pegar e Entregar",Andreas Resch,Alexander Pfister,https://storage.googleapis.com/ludopedia-capas/10168_t.jpg,2,4,"32,88,294,557,601,693,757,917,1102,1125,1224,1686","25,32,170,178,200,484,702,1923",
8,The Castles of Burgundy,2011,8.85,8.92,1498,12,2 a 4,90,Jogos Expert,"Colecionar Componentes,Colocação de Peças,Rolagem de Dados,Construção a partir de Modelo,Jogadores com Diferentes Habilidades,Marcadores e Hexágonos,Tabuleiro Modular","Julien Delval,Harald Lieske",Stefan Feld,https://storage.googleapis.com/ludopedia-capas/187_t.jpg,2,4,"37,38,40,72,77,89,142,146,147,236,240,251,253,256,303,317,331,355,356,375,388,399,421,427,485,492,496,502,545,572,598,699,732,757,791,796,839,843,850,887,967,1081,1180,1269,1275,1371,1398,1541,1568,1570,1660,1676,1802,1814,1837,1910,1991,1992,2052,2151,2161,2168,2191,2346,2414","29,139,165,215,232,251,253,267,291,317,348,355,388,423,433,447,492,496,562,693,737,757,853,1048,1411,1541,1752,1815,2166,2248","142,240,317,496,967,1541,1814"
9,Clans of Caledonia,2017,8.85,8.96,922,12,1 a 4,120,Jogos Expert,"Construção de Rotas,Controle/Influência de Área,Especulação Financeira,Jogadores com Diferentes Habilidades,Tabuleiro Modular",Klemens Franz,Juma Al-JouJou,https://storage.googleapis.com/ludopedia-capas/13588_t.jpg,1,4,"32,43,46,49,55,56,78,95,98,164,174,178,200,203,227,232,234,329,421,480,484,529,600,612,703,734,783,867,893,914,993,1055,1302,1381,1395,1413,1435,1453,1675,1686,1800,1929,1958,2045,2082,2140,2186,2425",,
10,Twilight Imperium (Fourth Edition),2017,8.85,9.11,364,14,3 a 6,480,Jogos Expert,"Movimento de Área,Gestão de Mão,Jogadores com Diferentes Habilidades,Marcadores e Hexágonos,Negociação,Ordem de Fases Variável,Rolagem de Dados,Sistema de Pontos de Ação,Tabuleiro Modular,Votação,Impulso de Área,Controle/Influência de Área",Scott Schomburg,"Christian T. Petersen,Dane Beltrami,Corey Konieczka",https://storage.googleapis.com/ludopedia-capas/14910_t.jpg,3,6,104,"11,50,62,73,76,84,104,131,153,167,176,201,216,241,446,521,542,615,696,715,735,746,862,900,912,998,1179,1680,1702,1825,1857,1859,1938,2254",
