age,artist,designer,dominio,imagem,mecanicas,media,notaRank,notas,numOfPlayers,position,timeOfPlay,title,year
 12 + ,"Alexandr Elichev,Josh T. McDowell,Alvaro Nebot",Isaac Childres,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/8624_t.jpg,"Ação Simultânea,Gestão de Mão,Cooperativo,Jogadores com Diferentes Habilidades,Movimento em Grades,Tabuleiro Modular,RPG",9.19,8.99,512,1 a 4 jogadores ,1º,120 min,Gloomhaven, (2017)
 14 + ,Dennis Lohausen,"Jens Drögemüller,Helge Ostertag",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/13749_t.jpg,"Construção de Rotas,Jogadores com Diferentes Habilidades,Ordem de Fases Variável,Tabuleiro Modular",9.07,8.96,898,1 a 4 jogadores ,3º,150 min,Gaia Project, (2017)
 13 + ,"Lina Cossette,Peter Dennis,David Forest,Eckhard Freytag,Damien Mammoliti",Martin Wallace,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/13196_t.jpg,"Construção de Rotas,Gestão de Mão",9.16,8.88,346,2 a 4 jogadores ,6º,180 min,Brass: Lancashire, (2017)
 12 + ,Andreas Resch,Alexander Pfister,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/10168_t.jpg,"Gestão de Mão,Colocação de Peças,Construção de Baralho/Peças,Movimento Ponto-a-Ponto,Colecionar Componentes,Pegar e Entregar",8.93,8.85,1192,2 a 4 jogadores ,7º,150 min,Great Western Trail, (2016)
 12 + ,Franz Vohwinkel,Andreas Seyfarth,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/48_t.jpg,Ordem de Fases Variável,8.88,8.85,2793,2 a 5 jogadores ,11º,90 min,Puerto Rico, (2002)
 12 + ,"Julien Delval,Harald Lieske",Stefan Feld,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/187_t.jpg,"Colecionar Componentes,Colocação de Peças,Rolagem de Dados,Construção a partir de Modelo,Jogadores com Diferentes Habilidades,Marcadores e Hexágonos,Tabuleiro Modular",8.92,8.85,1498,2 a 4 jogadores ,8º,90 min,The Castles of Burgundy, (2011)
 13 + ,"Viktor Csete,Rodger B. MacGowan,Guillaume Ries,Mark Simonitch","Ananda Gupta,Jason Matthews",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/503_t.jpg,"Ação Simultânea,Gestão de Mão,Campanha/ Batalhas Dirigidas por Cartas,Controle/Influência de Área,Rolagem de Dados",8.94,8.83,925,2 jogadores ,13º,180 min,Twilight Struggle, (2005)
 14 + ,"Lina Cossette,David Forest,Damien Mammoliti","Gavan Brown,Matt Tolman,Martin Wallace",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/13494_t.jpg,"Construção de Rotas,Gestão de Mão",9.11,8.93,547,2 a 4 jogadores ,5º,120 min,Brass: Birmingham, (2018)
 14 + ,"Matt Allsopp,David Ardila,Balaskas,Tiziano Baracchi,Ryan Barger,Jorge Barrero,Cassandre Bolan,Jon Bosco,Matt Bradbury,Adam Burn,Alexandre Dainche,Christina Davis,Anthony Devine,Allen Douglas,Edge Studio,Jose Mikhail Elloso,Tony Foti,Michele Frigo,Mariusz Gandzel,Zach Graves,Richard Hanuschek,Christopher Hosch,Andrew Johanson,Jeff Lee Johnson,Jason Juta,Adam Lane,Ignacio Bazán Lazcano,Ralph McQuarrie,Mark Molnar,Jake Murray,Ameen Naksewee,David A. Nash,Mike Nash,Maciej Rebisz,Alexandru Sabo,Tony Shasteen,Samuel Shimota,Stephen Somers,Matthew Starbuck,Nicholas Stohlman,Angela Sung,Darren Tan,Ryan Valle,Jose Vega,VIKO,Magali Villeneuve,Jacob Walker,Ben Zweifel",Corey Konieczka,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/9330_t.jpg,"Movimento de Área,Rolagem de Dados,Controle/Influência de Área,Gestão de Mão,Posicionamento Secreto,Jogadores com Diferentes Habilidades,Impulso de Área",9.00,8.84,574,2 a 4 jogadores ,12º,240 min,Star Wars: Rebellion, (2016)
 12 + ,"Jason Behnke,Loïc Billiau,Steffen Brand,Rocky Hammer,Sydni Kruger,Nolan Nasser,Jorge Ramos,Adam Rebottaro,Moro Rogers,Graham Sternberg,Shane Tyree,Joshua Wright",R. Eric Reuss,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/10959_t.jpg,"Ação Simultânea,Gestão de Mão,Cooperativo,Jogadores com Diferentes Habilidades,Seleção de Cartas,Tabuleiro Modular",9.03,8.80,415,1 a 4 jogadores ,15º,120 min,Spirit Island, (2017)
